Ambartsumian's Knot = NGC 3561,11 11.2,+28 42,
Andromeda galaxy = M31 = NGC 0224,00 42.7,+41 16,2.538
Andromeda I,00 45.7,+38 00,2.6
Andromeda II,01 16.3,+33 25,2.23
Andromeda III,00 35.3,+36 31,2.451
Andromeda IV,00 42.5,+40 34,
Antennae Galaxies = NGC 4038/9,12 01.9,-18 52,
Aquarius Dwarf = DDO 210,20 46.9,-12 51,3.2
Arp's Galaxy,11 19.6,+51 30,
Atoms-for-Peace = NGC 7252 = Arp 226,22 20.8,-24 41,
Baade's Galaxies A and B,00 49.9,+42 35,
Barbon's Galaxy = Mrk 328,23 37.7,+30 08,
Barnard's Galaxy = NGC 6822,19 44.9,-14 48,1.63
Bear's Paw = NGC 2537,08 13.2,+46 00,
BL Lac,22 02.7,+42 17,
Black Eye Galaxy = M64 = NGC 4286,12 56.7,+ 21 41,
Bode's Galaxies = M81/82 = NGC 3031/34,09 55.7,+69 23,11.58
Burbidge Chain = MCG -04-03-010 to 013,00 47.5,-20 25,
BW Tauri = UGC 03087,04 33.2,+05 21,
Carafe galaxy,04 28.0,-47 54,
Carina dwarf,06 41.6,-50 58,0.33
Cartwheel galaxy,00 37.4,-33 44,
Centaurus A = NGC 5128 = Arp 135,13 25.5,-43 01,12.01
Circinus galaxy,14 13.2,-65 20,7.4
Coddington's Nebula = IC 2574 = DDO 081,10 28.4,+68 25,
Copeland Septet = NGC3745/54 = Arp 320,11 37.8,+21 59,
Cygnus A,19 59.4,+40 43,
Draco dwarf = DDO 208,17 20.2,+57 55,0.258
Fath 703 = NGC 5892,15 13.7,-15 29,
Fornax A = NGC 1316,03 22.7,-37 12,
Fornax dwarf,02 39.9,-34 32,0.46
Fourcade-Figueroa object,13 34.8,-45 33,
The Garland,10 04.2,+68 40,
Grus Quartet = NGC 7552/82/90/99,23 17.8,-42 26,0.285
GR8 = DDO 155,12 58.7,+14 13,7.9
Hardcastle Nebula,13 13.0,-32 41,
Helix Galaxy,08 55.6,+58 44,
Hercules A,16 51.2,+04 59,0.43
Holmberg I = DDO 063,09 40.5,+71 11,
Holmberg II = DDO 050 = Arp 268,08 19.3,+70 43,11.06
Holmberg III,09 14.6,+74 14,
Holmberg IV = DDO 185,13 54.7,+53 54,
Holmberg V,13 40.6,+54 20,
Holmberg VI = NGC 1325A,03 24.9,-21 20,
Holmberg VII = DDO 137,12 34.7,+06 17,
Holmberg VIII = DDO 166,13 13.3,+36 12,
Holmberg IX = DDO 066,09 57.6,+69 03,
Horologium Dwarf = Schuster's Spiral,03 59.2,-45 52,0.25
Hydra A,09 18.1,-12 06,
Integral Sign Galaxy,07 11.4,+71 50,
Keenan's System = NGC 5216/16a/18 = Arp 104,13 32.2,+62 43,
Kowal's Object,19 29.9,-17 41,
Large Magellanic Cloud,05 23.6,-69 45,0.163
Leo I = Harrington-Wilson No. 1,10 08.5,+12 18,0.82
          = Regulus Dwarf = DDO 074,,,
Leo II = Harrington-Wilson No.2,11 13.4,+22 10,0.701
            = Leo B = DDO 093,,,
Leo A = Leo III = DDO 069,09 59.3,+30 45,2.25
Lindsay-Shapley Ring,06 42.8,-74 15,
McLeish's Object,20 09.7,-66 13,
Maffei I = UGCA 034,02 36.3,+59 39,9.78
Maffei II = UGCA 039,02 42.0,+59 37,9.8
Malin 1,12 37.0,+14 20,
Mayall's Object = Arp 148,11 03.9,+40 50,
Mice = NGC 4676 = Arp 242,12 46.1,+30 44,
Minkowski's Object = Arp 133,01 25.8,-01 21,
Pegasus Dwarf = DDO 216,23 28.5,+14 44,2.55
Perseus A = NGC 1275,03 19.8,+41 31,
Phoenix Dwarf Irregular,01 51.1,-44 26,1.44
Pisces Cloud = NGC 0379/80/82-85,01 07.5,+32 25,
Pisces Dwarf = LGS 3,00 03.8,+21 54,2.51
Reinmuth 80 = NGC 4517A,12 32.5,+00 23,
Reticulum Dwarf,04 36.2,-58 50,
Sagittarius Dwarf Irregular (SagDIG),19 30.0,-17 41,
Sculptor Dwarf,01 00.2,-33 42,0.081
Sculptor Dwarf Irregular,00 08.1,-34 34,3.39
Seashell galaxy,13 44.5,-30 10,
Serpens Dwarf,15 16.1,-00 08,
Sextans A = DDO 075,10 11.0,-04 41,4.31
Sextans B = DDO 070,10.00.0,+05 19,4.44
Sextans C,10 05.6,+00 04,
Seyfert's Sextet = NGC 6027/6027A-E,15 59.2,+20 46,
Shapley-Ames 1,01 05.1,-06 13,
Shapley-Ames 2 = NGC 4507,12 35.1,-39 55,
Shapley-Ames 3,12 49.4,-10 07,
Shapley-Ames 4,12 55.2,+00 07,
Shapley-Ames 5 = IC 4946,20 24.0,-44 00,
Shapley-Ames 6,21 23.2,-45 46,
Small Magellanic Cloud,00 52.7,-72 50,0.206
Sombrero Galaxy = M 104 = NGC 4594,12 39.9,-11 37,
Spindle Galaxy = NGC 3115,10 05.2,-07 42,
Stephan's Quintet = NGC 7317-20 = Arp 319,22 36.0,+33 58,
Superantennae,19 31.4,-72 39,
Triangulum galaxy = M33 = NGC 0598,01 33.9,+30 39,2.73
Ursa Minor dwarf = DDO 199,15 08.8,+67 12,0.206
Virgo A = M87 = NGC 4486 = Arp 152,12 30.8,+12 23,
Whirlpool galaxy = M51 = NGC 5194,13 29.9,+47 12,
Wild's Triplet = Arp 248,11 46.8,-03 49,
Wolf-Lundmark-Melotte object = DDO 221,00 02.0,-15 28,
Zwicky No.2 = DDO 105,11 58.4,+38 03,3.04
Zwicky's Triplet = Arp 103,16 49.5,+45 30,
